2019-09-09 17:37:18,910 INFO <module> :Start solver w/o CV
2019-09-09 17:39:36,430 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 50/1000,  L: 2.357948, cost: 0.132782, cost_chiquare:0.040033, cost_l1:0.092565, cost_ltsv:0.000070
2019-09-09 17:39:41,673 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 100/1000,  L: 2.357948, cost: 0.131243, cost_chiquare:0.040922, cost_l1:0.090298, cost_ltsv:0.000046
2019-09-09 17:39:47,018 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 150/1000,  L: 1.948717, cost: 0.130911, cost_chiquare:0.042294, cost_l1:0.088571, cost_ltsv:0.000047
2019-09-09 17:39:52,696 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 200/1000,  L: 2.357948, cost: 0.130767, cost_chiquare:0.041073, cost_l1:0.089651, cost_ltsv:0.000053
2019-09-09 17:39:58,129 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 250/1000,  L: 1.771561, cost: 0.130727, cost_chiquare:0.041464, cost_l1:0.089205, cost_ltsv:0.000059
2019-09-09 17:40:03,611 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 300/1000,  L: 2.143589, cost: 0.130715, cost_chiquare:0.041314, cost_l1:0.089337, cost_ltsv:0.000065
2019-09-09 17:40:08,801 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 350/1000,  L: 1.948717, cost: 0.130706, cost_chiquare:0.041431, cost_l1:0.089207, cost_ltsv:0.000068
2019-09-09 17:40:14,200 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 400/1000,  L: 1.771561, cost: 0.130698, cost_chiquare:0.041365, cost_l1:0.089263, cost_ltsv:0.000071
2019-09-09 17:40:19,421 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 450/1000,  L: 1.771561, cost: 0.130693, cost_chiquare:0.041413, cost_l1:0.089207, cost_ltsv:0.000073
2019-09-09 17:40:24,654 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.50, Current iteration: 500/1000,  L: 2.357948, cost: 0.130690, cost_chiquare:0.041394, cost_l1:0.089221, cost_ltsv:0.000075
2019-09-09 17:40:26,064 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 0/1000,  L: 3.452271, cost: 58.748777, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.001150
2019-09-09 17:40:31,235 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 50/1000,  L: 2.143589, cost: 0.132809, cost_chiquare:0.040579, cost_l1:0.092198, cost_ltsv:0.000123
2019-09-09 17:40:36,438 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 100/1000,  L: 2.357948, cost: 0.131280, cost_chiquare:0.040835, cost_l1:0.090383, cost_ltsv:0.000078
2019-09-09 17:40:41,724 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 150/1000,  L: 2.357948, cost: 0.130943, cost_chiquare:0.042336, cost_l1:0.088537, cost_ltsv:0.000078
2019-09-09 17:40:47,230 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 200/1000,  L: 2.593742, cost: 0.130801, cost_chiquare:0.041035, cost_l1:0.089681, cost_ltsv:0.000085
2019-09-09 17:40:53,142 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 250/1000,  L: 2.143589, cost: 0.130767, cost_chiquare:0.041457, cost_l1:0.089215, cost_ltsv:0.000095
2019-09-09 17:40:58,493 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 300/1000,  L: 1.948717, cost: 0.130757, cost_chiquare:0.041305, cost_l1:0.089353, cost_ltsv:0.000099
2019-09-09 17:41:04,032 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 350/1000,  L: 3.138428, cost: 0.130748, cost_chiquare:0.041412, cost_l1:0.089238, cost_ltsv:0.000098
2019-09-09 17:41:09,084 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 400/1000,  L: 2.143589, cost: 0.130740, cost_chiquare:0.041352, cost_l1:0.089292, cost_ltsv:0.000096
2019-09-09 17:41:14,317 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.25, Current iteration: 450/1000,  L: 2.143589, cost: 0.130736, cost_chiquare:0.041393, cost_l1:0.089250, cost_ltsv:0.000094
2019-09-09 17:41:18,141 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 0/1000,  L: 3.452271, cost: 58.749624, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.002045
2019-09-09 17:41:23,205 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 50/1000,  L: 2.143589, cost: 0.132905, cost_chiquare:0.040681, cost_l1:0.092133, cost_ltsv:0.000217
2019-09-09 17:41:28,571 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 100/1000,  L: 2.593742, cost: 0.131333, cost_chiquare:0.040888, cost_l1:0.090340, cost_ltsv:0.000131
2019-09-09 17:41:33,780 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 150/1000,  L: 2.357948, cost: 0.130992, cost_chiquare:0.042358, cost_l1:0.088515, cost_ltsv:0.000124
2019-09-09 17:41:38,829 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 200/1000,  L: 2.357948, cost: 0.130858, cost_chiquare:0.041020, cost_l1:0.089707, cost_ltsv:0.000134
2019-09-09 17:41:43,924 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 250/1000,  L: 2.853117, cost: 0.130825, cost_chiquare:0.041476, cost_l1:0.089209, cost_ltsv:0.000142
2019-09-09 17:41:48,871 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 300/1000,  L: 1.948717, cost: 0.130812, cost_chiquare:0.041310, cost_l1:0.089363, cost_ltsv:0.000139
2019-09-09 17:41:54,025 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 350/1000,  L: 1.948717, cost: 0.130801, cost_chiquare:0.041384, cost_l1:0.089287, cost_ltsv:0.000129
2019-09-09 17:41:59,368 INFO mfista_func_healpix :l1:-3.00, ltsv:-4.00, Current iteration: 400/1000,  L: 2.357948, cost: 0.130793, cost_chiquare:0.041361, cost_l1:0.089312, cost_ltsv:0.000120
2019-09-09 17:42:04,762 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 0/1000,  L: 3.452271, cost: 58.751130, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.003636
2019-09-09 17:42:09,781 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 50/1000,  L: 2.593742, cost: 0.133020, cost_chiquare:0.040875, cost_l1:0.091989, cost_ltsv:0.000377
2019-09-09 17:42:14,878 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 100/1000,  L: 2.593742, cost: 0.131415, cost_chiquare:0.040819, cost_l1:0.090411, cost_ltsv:0.000213
2019-09-09 17:42:20,212 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 150/1000,  L: 2.593742, cost: 0.131063, cost_chiquare:0.042368, cost_l1:0.088510, cost_ltsv:0.000191
2019-09-09 17:42:25,410 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 200/1000,  L: 2.593742, cost: 0.130937, cost_chiquare:0.041086, cost_l1:0.089663, cost_ltsv:0.000199
2019-09-09 17:42:30,719 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 250/1000,  L: 2.357948, cost: 0.130900, cost_chiquare:0.041458, cost_l1:0.089246, cost_ltsv:0.000196
2019-09-09 17:42:35,903 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 300/1000,  L: 2.143589, cost: 0.130880, cost_chiquare:0.041326, cost_l1:0.089375, cost_ltsv:0.000179
2019-09-09 17:42:41,012 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.75, Current iteration: 350/1000,  L: 2.143589, cost: 0.130869, cost_chiquare:0.041347, cost_l1:0.089362, cost_ltsv:0.000160
2019-09-09 17:42:46,924 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 0/1000,  L: 3.452271, cost: 58.753808, cost_chiquare:30.965319, cost_l1:0.569341, cost_ltsv:0.006466
2019-09-09 17:42:52,018 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 50/1000,  L: 2.357948, cost: 0.133253, cost_chiquare:0.041236, cost_l1:0.091653, cost_ltsv:0.000647
2019-09-09 17:42:57,378 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 100/1000,  L: 2.593742, cost: 0.131544, cost_chiquare:0.040749, cost_l1:0.090482, cost_ltsv:0.000332
2019-09-09 17:43:02,693 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 150/1000,  L: 2.853117, cost: 0.131166, cost_chiquare:0.042379, cost_l1:0.088517, cost_ltsv:0.000278
2019-09-09 17:43:07,886 INFO mfista_func_healpix :l1:-3.00, ltsv:-3.50, Current iteration: 200/1000,  L: 2.357948, cost: 0.131034, cost_chiquare:0.041130, cost_l1:0.089638, cost_ltsv:0.000268
