2019-09-05 21:51:35,922 INFO <module> :Start CV
2019-09-05 21:53:37,440 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 2.143589, cost: 0.029119, cost_chiquare:0.027996, cost_l1:0.001090, cost_ltsv:0.000033
2019-09-05 21:53:41,933 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.771561, cost: 0.029111, cost_chiquare:0.027987, cost_l1:0.001090, cost_ltsv:0.000033
2019-09-05 21:53:46,546 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 2.143589, cost: 0.029104, cost_chiquare:0.027979, cost_l1:0.001090, cost_ltsv:0.000034
2019-09-05 21:53:51,134 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.357948, cost: 0.029098, cost_chiquare:0.027973, cost_l1:0.001090, cost_ltsv:0.000035
2019-09-05 21:53:55,543 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.610510, cost: 0.029094, cost_chiquare:0.027967, cost_l1:0.001090, cost_ltsv:0.000037
2019-09-05 21:54:00,087 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.610510, cost: 0.029090, cost_chiquare:0.027962, cost_l1:0.001090, cost_ltsv:0.000039
2019-09-05 21:54:04,656 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.771561, cost: 0.029087, cost_chiquare:0.027957, cost_l1:0.001090, cost_ltsv:0.000041
2019-09-05 21:54:09,313 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 2.593742, cost: 0.029085, cost_chiquare:0.027953, cost_l1:0.001090, cost_ltsv:0.000042
2019-09-05 21:54:13,646 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.464100, cost: 0.029083, cost_chiquare:0.027949, cost_l1:0.001090, cost_ltsv:0.000044
2019-09-05 21:54:18,231 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.771561, cost: 0.029082, cost_chiquare:0.027947, cost_l1:0.001090, cost_ltsv:0.000045
