2019-09-05 23:52:20,325 INFO <module> :Start CV
2019-09-05 23:54:22,507 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 400/1000,  L: 1.948717, cost: 0.028028, cost_chiquare:0.027995, cost_l1:0.000000, cost_ltsv:0.000033
2019-09-05 23:54:26,964 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 450/1000,  L: 1.610510, cost: 0.028020, cost_chiquare:0.027986, cost_l1:0.000000, cost_ltsv:0.000034
2019-09-05 23:54:31,474 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 500/1000,  L: 1.610510, cost: 0.028012, cost_chiquare:0.027978, cost_l1:0.000000, cost_ltsv:0.000034
2019-09-05 23:54:36,138 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 550/1000,  L: 2.593742, cost: 0.028007, cost_chiquare:0.027971, cost_l1:0.000000, cost_ltsv:0.000035
2019-09-05 23:54:40,565 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 600/1000,  L: 2.143589, cost: 0.028003, cost_chiquare:0.027966, cost_l1:0.000000, cost_ltsv:0.000037
2019-09-05 23:54:45,030 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 650/1000,  L: 1.948717, cost: 0.027999, cost_chiquare:0.027960, cost_l1:0.000000, cost_ltsv:0.000039
2019-09-05 23:54:49,567 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 700/1000,  L: 2.143589, cost: 0.027996, cost_chiquare:0.027955, cost_l1:0.000000, cost_ltsv:0.000041
2019-09-05 23:54:54,069 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 750/1000,  L: 2.143589, cost: 0.027994, cost_chiquare:0.027951, cost_l1:0.000000, cost_ltsv:0.000043
2019-09-05 23:54:58,525 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 800/1000,  L: 1.948717, cost: 0.027992, cost_chiquare:0.027948, cost_l1:0.000000, cost_ltsv:0.000044
2019-09-05 23:55:03,012 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 850/1000,  L: 1.948717, cost: 0.027991, cost_chiquare:0.027946, cost_l1:0.000000, cost_ltsv:0.000045
2019-09-05 23:55:07,398 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.027990, cost_chiquare:0.027944, cost_l1:0.000000, cost_ltsv:0.000046
2019-09-05 23:55:11,879 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 950/1000,  L: 1.464100, cost: 0.027989, cost_chiquare:0.027943, cost_l1:0.000000, cost_ltsv:0.000047
2019-09-05 23:55:16,402 INFO cv :1/10, l1: -9/-6, ltsv: -5/-1. elapsed time: 90.430699
2019-09-05 23:55:17,066 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 55.557486, cost_chiquare:28.713960, cost_l1:0.000001, cost_ltsv:0.000205
2019-09-05 23:55:21,589 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 50/1000,  L: 2.143589, cost: 0.031594, cost_chiquare:0.031608, cost_l1:0.000000, cost_ltsv:0.000034
2019-09-05 23:55:26,086 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 100/1000,  L: 1.948717, cost: 0.030758, cost_chiquare:0.030732, cost_l1:0.000000, cost_ltsv:0.000028
2019-09-05 23:55:30,678 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 150/1000,  L: 2.357948, cost: 0.030407, cost_chiquare:0.030375, cost_l1:0.000000, cost_ltsv:0.000028
2019-09-05 23:55:35,156 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 200/1000,  L: 2.143589, cost: 0.030277, cost_chiquare:0.030247, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-05 23:55:39,669 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 250/1000,  L: 2.143589, cost: 0.030234, cost_chiquare:0.030204, cost_l1:0.000000, cost_ltsv:0.000029
2019-09-05 23:55:44,184 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.030220, cost_chiquare:0.030190, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:55:48,695 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 350/1000,  L: 2.143589, cost: 0.030214, cost_chiquare:0.030184, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:55:53,252 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 400/1000,  L: 2.357948, cost: 0.030207, cost_chiquare:0.030177, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:55:57,728 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 450/1000,  L: 2.143589, cost: 0.030201, cost_chiquare:0.030171, cost_l1:0.000000, cost_ltsv:0.000030
2019-09-05 23:56:02,303 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 500/1000,  L: 2.593742, cost: 0.030195, cost_chiquare:0.030165, cost_l1:0.000000, cost_ltsv:0.000031
2019-09-05 23:56:06,641 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 550/1000,  L: 1.610510, cost: 0.030191, cost_chiquare:0.030159, cost_l1:0.000000, cost_ltsv:0.000032
2019-09-05 23:56:11,107 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 600/1000,  L: 1.464100, cost: 0.030188, cost_chiquare:0.030155, cost_l1:0.000000, cost_ltsv:0.000033
2019-09-05 23:56:15,708 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 650/1000,  L: 1.948717, cost: 0.030185, cost_chiquare:0.030150, cost_l1:0.000000, cost_ltsv:0.000035
2019-09-05 23:56:20,275 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 700/1000,  L: 2.357948, cost: 0.030183, cost_chiquare:0.030147, cost_l1:0.000000, cost_ltsv:0.000036
2019-09-05 23:56:24,548 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 750/1000,  L: 1.210000, cost: 0.030181, cost_chiquare:0.030144, cost_l1:0.000000, cost_ltsv:0.000037
2019-09-05 23:56:29,276 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 800/1000,  L: 2.357948, cost: 0.030179, cost_chiquare:0.030141, cost_l1:0.000000, cost_ltsv:0.000038
2019-09-05 23:56:33,614 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 850/1000,  L: 1.464100, cost: 0.030178, cost_chiquare:0.030140, cost_l1:0.000000, cost_ltsv:0.000039
2019-09-05 23:56:38,140 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 900/1000,  L: 1.610510, cost: 0.030177, cost_chiquare:0.030138, cost_l1:0.000000, cost_ltsv:0.000039
2019-09-05 23:56:42,693 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 950/1000,  L: 1.948717, cost: 0.030176, cost_chiquare:0.030137, cost_l1:0.000000, cost_ltsv:0.000039
2019-09-05 23:56:47,032 INFO cv :2/10, l1: -9/-6, ltsv: -5/-1. elapsed time: 90.458450
2019-09-05 23:56:47,696 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 57.620332, cost_chiquare:30.173454, cost_l1:0.000001, cost_ltsv:0.000192
2019-09-05 23:56:52,201 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031165, cost_chiquare:0.031137, cost_l1:0.000000, cost_ltsv:0.000035
2019-09-05 23:56:56,697 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030221, cost_chiquare:0.030202, cost_l1:0.000000, cost_ltsv:0.000027
2019-09-05 23:57:01,213 INFO mfista_func_healpix :l1:-9, ltsv:-5, Current iteration: 150/1000,  L: 1.948717, cost: 0.029924, cost_chiquare:0.029894, cost_l1:0.000000, cost_ltsv:0.000027
