2019-09-05 16:20:11,365 INFO <module> :Start CV
2019-09-05 16:20:11,988 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.124850, cost_chiquare:29.872422, cost_l1:0.005810, cost_ltsv:0.000204
2019-09-05 16:20:16,172 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031035, cost_chiquare:0.029886, cost_l1:0.001076, cost_ltsv:0.000034
2019-09-05 16:20:20,355 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030091, cost_chiquare:0.028969, cost_l1:0.001098, cost_ltsv:0.000027
2019-09-05 16:20:24,578 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.143589, cost: 0.029768, cost_chiquare:0.028665, cost_l1:0.001072, cost_ltsv:0.000027
2019-09-05 16:20:28,762 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 1.948717, cost: 0.029632, cost_chiquare:0.028520, cost_l1:0.001083, cost_ltsv:0.000028
2019-09-05 16:20:32,850 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 1.331000, cost: 0.029589, cost_chiquare:0.028477, cost_l1:0.001082, cost_ltsv:0.000029
2019-09-05 16:20:37,217 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.029576, cost_chiquare:0.028465, cost_l1:0.001081, cost_ltsv:0.000030
2019-09-05 16:20:41,448 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.143589, cost: 0.029569, cost_chiquare:0.028455, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 16:20:45,573 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.610510, cost: 0.029560, cost_chiquare:0.028448, cost_l1:0.001082, cost_ltsv:0.000030
2019-09-05 16:20:49,836 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.948717, cost: 0.029552, cost_chiquare:0.028439, cost_l1:0.001082, cost_ltsv:0.000031
2019-09-05 16:20:53,949 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.464100, cost: 0.029546, cost_chiquare:0.028432, cost_l1:0.001082, cost_ltsv:0.000032
2019-09-05 16:20:58,169 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 1.464100, cost: 0.029540, cost_chiquare:0.028425, cost_l1:0.001082, cost_ltsv:0.000033
2019-09-05 16:21:02,530 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 2.357948, cost: 0.029536, cost_chiquare:0.028419, cost_l1:0.001082, cost_ltsv:0.000035
2019-09-05 16:21:06,710 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 2.143589, cost: 0.029533, cost_chiquare:0.028414, cost_l1:0.001082, cost_ltsv:0.000037
2019-09-05 16:21:10,794 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.464100, cost: 0.029530, cost_chiquare:0.028409, cost_l1:0.001082, cost_ltsv:0.000039
2019-09-05 16:21:15,011 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.610510, cost: 0.029528, cost_chiquare:0.028405, cost_l1:0.001082, cost_ltsv:0.000041
2019-09-05 16:21:19,138 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.331000, cost: 0.029526, cost_chiquare:0.028402, cost_l1:0.001082, cost_ltsv:0.000042
2019-09-05 16:21:23,383 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.029524, cost_chiquare:0.028399, cost_l1:0.001082, cost_ltsv:0.000043
2019-09-05 16:21:27,549 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.029523, cost_chiquare:0.028397, cost_l1:0.001082, cost_ltsv:0.000044
2019-09-05 16:21:31,782 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.771561, cost: 0.029522, cost_chiquare:0.028395, cost_l1:0.001082, cost_ltsv:0.000045
2019-09-05 16:21:35,914 INFO cv :0/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 84.410271
2019-09-05 16:21:36,566 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.159832, cost_chiquare:29.840151, cost_l1:0.005800, cost_ltsv:0.000203
2019-09-05 16:21:40,708 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031340, cost_chiquare:0.030197, cost_l1:0.001075, cost_ltsv:0.000034
2019-09-05 16:21:44,905 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030432, cost_chiquare:0.029310, cost_l1:0.001099, cost_ltsv:0.000027
2019-09-05 16:21:49,398 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.593742, cost: 0.030110, cost_chiquare:0.029005, cost_l1:0.001074, cost_ltsv:0.000027
2019-09-05 16:21:54,347 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.029978, cost_chiquare:0.028865, cost_l1:0.001084, cost_ltsv:0.000028
2019-09-05 16:21:59,222 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 2.357948, cost: 0.029938, cost_chiquare:0.028825, cost_l1:0.001084, cost_ltsv:0.000029
2019-09-05 16:22:03,721 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 2.143589, cost: 0.029926, cost_chiquare:0.028814, cost_l1:0.001082, cost_ltsv:0.000030
2019-09-05 16:22:08,267 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.143589, cost: 0.029919, cost_chiquare:0.028805, cost_l1:0.001084, cost_ltsv:0.000030
2019-09-05 16:22:12,809 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.948717, cost: 0.029912, cost_chiquare:0.028799, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 16:22:17,671 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 2.143589, cost: 0.029905, cost_chiquare:0.028792, cost_l1:0.001083, cost_ltsv:0.000030
2019-09-05 16:22:22,158 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.948717, cost: 0.029900, cost_chiquare:0.028785, cost_l1:0.001083, cost_ltsv:0.000031
2019-09-05 16:22:26,896 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.143589, cost: 0.029895, cost_chiquare:0.028780, cost_l1:0.001083, cost_ltsv:0.000032
2019-09-05 16:22:31,299 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.100000, cost: 0.029891, cost_chiquare:0.028774, cost_l1:0.001083, cost_ltsv:0.000034
2019-09-05 16:22:36,022 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.210000, cost: 0.029888, cost_chiquare:0.028770, cost_l1:0.001083, cost_ltsv:0.000035
2019-09-05 16:22:40,919 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 2.357948, cost: 0.029885, cost_chiquare:0.028765, cost_l1:0.001083, cost_ltsv:0.000037
2019-09-05 16:22:45,286 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.610510, cost: 0.029883, cost_chiquare:0.028762, cost_l1:0.001083, cost_ltsv:0.000039
2019-09-05 16:22:50,087 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.771561, cost: 0.029882, cost_chiquare:0.028759, cost_l1:0.001083, cost_ltsv:0.000040
2019-09-05 16:22:54,558 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.331000, cost: 0.029880, cost_chiquare:0.028757, cost_l1:0.001083, cost_ltsv:0.000041
2019-09-05 16:22:59,170 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.948717, cost: 0.029879, cost_chiquare:0.028755, cost_l1:0.001083, cost_ltsv:0.000042
2019-09-05 16:23:03,580 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.331000, cost: 0.029878, cost_chiquare:0.028753, cost_l1:0.001083, cost_ltsv:0.000042
2019-09-05 16:23:08,116 INFO cv :1/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 92.009661
2019-09-05 16:23:08,782 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.047128, cost_chiquare:29.878898, cost_l1:0.005808, cost_ltsv:0.000204
2019-09-05 16:23:13,263 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.593742, cost: 0.031240, cost_chiquare:0.030081, cost_l1:0.001075, cost_ltsv:0.000034
2019-09-05 16:23:17,850 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.030291, cost_chiquare:0.029175, cost_l1:0.001095, cost_ltsv:0.000027
2019-09-05 16:23:22,744 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 150/1000,  L: 2.143589, cost: 0.029967, cost_chiquare:0.028866, cost_l1:0.001071, cost_ltsv:0.000027
2019-09-05 16:23:27,327 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 200/1000,  L: 2.357948, cost: 0.029831, cost_chiquare:0.028721, cost_l1:0.001081, cost_ltsv:0.000028
2019-09-05 16:23:31,740 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 250/1000,  L: 1.610510, cost: 0.029789, cost_chiquare:0.028679, cost_l1:0.001081, cost_ltsv:0.000029
2019-09-05 16:23:36,324 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 300/1000,  L: 1.771561, cost: 0.029777, cost_chiquare:0.028668, cost_l1:0.001079, cost_ltsv:0.000030
2019-09-05 16:23:40,990 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 350/1000,  L: 2.357948, cost: 0.029770, cost_chiquare:0.028659, cost_l1:0.001081, cost_ltsv:0.000030
2019-09-05 16:23:45,491 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 1.948717, cost: 0.029763, cost_chiquare:0.028652, cost_l1:0.001081, cost_ltsv:0.000030
2019-09-05 16:23:50,071 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.948717, cost: 0.029756, cost_chiquare:0.028645, cost_l1:0.001080, cost_ltsv:0.000030
2019-09-05 16:23:54,549 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.771561, cost: 0.029750, cost_chiquare:0.028639, cost_l1:0.001081, cost_ltsv:0.000031
2019-09-05 16:23:59,124 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.357948, cost: 0.029745, cost_chiquare:0.028633, cost_l1:0.001080, cost_ltsv:0.000032
2019-09-05 16:24:03,686 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 2.593742, cost: 0.029741, cost_chiquare:0.028628, cost_l1:0.001080, cost_ltsv:0.000033
2019-09-05 16:24:08,044 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.610510, cost: 0.029738, cost_chiquare:0.028624, cost_l1:0.001080, cost_ltsv:0.000035
