2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:02:49,212 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 400/1000,  L: 2.143589, cost: 0.029622, cost_chiquare:0.028507, cost_l1:0.001084, cost_ltsv:0.000031
2019-09-05 16:02:53,977 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 450/1000,  L: 1.771561, cost: 0.029615, cost_chiquare:0.028500, cost_l1:0.001084, cost_ltsv:0.000031
2019-09-05 16:02:58,814 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 500/1000,  L: 1.948717, cost: 0.029609, cost_chiquare:0.028493, cost_l1:0.001084, cost_ltsv:0.000032
2019-09-05 16:03:03,645 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.143589, cost: 0.029604, cost_chiquare:0.028487, cost_l1:0.001084, cost_ltsv:0.000033
2019-09-05 16:03:08,368 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 1.610510, cost: 0.029599, cost_chiquare:0.028481, cost_l1:0.001084, cost_ltsv:0.000034
2019-09-05 16:03:13,110 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.000000, cost: 0.029596, cost_chiquare:0.028476, cost_l1:0.001084, cost_ltsv:0.000036
2019-09-05 16:03:18,039 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 1.331000, cost: 0.029593, cost_chiquare:0.028472, cost_l1:0.001084, cost_ltsv:0.000037
2019-09-05 16:03:23,007 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.771561, cost: 0.029591, cost_chiquare:0.028468, cost_l1:0.001084, cost_ltsv:0.000039
2019-09-05 16:03:27,696 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.464100, cost: 0.029589, cost_chiquare:0.028465, cost_l1:0.001084, cost_ltsv:0.000040
2019-09-05 16:03:32,814 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 2.143589, cost: 0.029588, cost_chiquare:0.028463, cost_l1:0.001084, cost_ltsv:0.000041
2019-09-05 16:03:37,667 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 1.464100, cost: 0.029586, cost_chiquare:0.028461, cost_l1:0.001084, cost_ltsv:0.000042
2019-09-05 16:03:42,362 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.610510, cost: 0.029585, cost_chiquare:0.028459, cost_l1:0.001084, cost_ltsv:0.000042
