2019-09-10 13:47:09,164 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 0/1000,  L: 3.501293, cost: 0.185907, cost_chiquare:0.127778, cost_l1:0.026821, cost_ltsv:0.000003
2019-09-10 13:47:14,021 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 50/1000,  L: 2.630573, cost: 0.066110, cost_chiquare:0.033288, cost_l1:0.032805, cost_ltsv:0.000019
2019-09-10 13:47:18,679 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 100/1000,  L: 2.630573, cost: 0.065574, cost_chiquare:0.033428, cost_l1:0.032108, cost_ltsv:0.000035
2019-09-10 13:47:23,325 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 150/1000,  L: 2.630573, cost: 0.065362, cost_chiquare:0.032833, cost_l1:0.032468, cost_ltsv:0.000060
2019-09-10 13:47:27,881 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 200/1000,  L: 2.174027, cost: 0.065320, cost_chiquare:0.032878, cost_l1:0.032358, cost_ltsv:0.000083
2019-09-10 13:47:33,020 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 250/1000,  L: 2.391430, cost: 0.065316, cost_chiquare:0.032898, cost_l1:0.032321, cost_ltsv:0.000097
2019-09-10 13:47:37,966 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 300/1000,  L: 2.630573, cost: 0.065312, cost_chiquare:0.032849, cost_l1:0.032364, cost_ltsv:0.000099
2019-09-10 13:47:42,998 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 350/1000,  L: 2.174027, cost: 0.065308, cost_chiquare:0.032875, cost_l1:0.032337, cost_ltsv:0.000096
2019-09-10 13:49:00,138 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 0/1000,  L: 3.501293, cost: 0.185907, cost_chiquare:0.127778, cost_l1:0.026821, cost_ltsv:0.000003
2019-09-10 13:49:04,802 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 50/1000,  L: 2.630573, cost: 0.066110, cost_chiquare:0.033288, cost_l1:0.032805, cost_ltsv:0.000019
2019-09-10 13:49:09,581 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 100/1000,  L: 2.630573, cost: 0.065574, cost_chiquare:0.033428, cost_l1:0.032108, cost_ltsv:0.000035
2019-09-10 13:49:14,279 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 150/1000,  L: 2.630573, cost: 0.065362, cost_chiquare:0.032833, cost_l1:0.032468, cost_ltsv:0.000060
2019-09-10 13:49:18,992 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 200/1000,  L: 2.174027, cost: 0.065320, cost_chiquare:0.032878, cost_l1:0.032358, cost_ltsv:0.000083
2019-09-10 13:49:24,120 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 250/1000,  L: 2.391430, cost: 0.065316, cost_chiquare:0.032898, cost_l1:0.032321, cost_ltsv:0.000097
2019-09-10 13:49:29,099 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 300/1000,  L: 2.630573, cost: 0.065312, cost_chiquare:0.032849, cost_l1:0.032364, cost_ltsv:0.000099
2019-09-10 13:49:34,350 INFO mfista_func_healpix :l1:-3.50, ltsv:-4.00, Current iteration: 350/1000,  L: 2.174027, cost: 0.065308, cost_chiquare:0.032875, cost_l1:0.032337, cost_ltsv:0.000096
