l1: -2/5, ltsv: -2/5. elapsed time: 28.983556
l1: -2/5, ltsv: -1/5. elapsed time: 20.722887
l1: -2/5, ltsv: 0/5. elapsed time: 14.767445
l1: -2/5, ltsv: 1/5. elapsed time: 7.242452
l1: -2/5, ltsv: 2/5. elapsed time: 3.602780
l1: -2/5, ltsv: 3/5. elapsed time: 2.158258
l1: -2/5, ltsv: 4/5. elapsed time: 2.443270
l1: -2/5, ltsv: 5/5. elapsed time: 2.895143
l1: -1/5, ltsv: -2/5. elapsed time: 22.598263
l1: -1/5, ltsv: -1/5. elapsed time: 17.509979
l1: -1/5, ltsv: 0/5. elapsed time: 12.517417
l1: -1/5, ltsv: 1/5. elapsed time: 6.907656
l1: -1/5, ltsv: 2/5. elapsed time: 3.569195
l1: -1/5, ltsv: 3/5. elapsed time: 2.100963
l1: -1/5, ltsv: 4/5. elapsed time: 2.416145
l1: -1/5, ltsv: 5/5. elapsed time: 2.951807
l1: 0/5, ltsv: -2/5. elapsed time: 22.460874
l1: 0/5, ltsv: -1/5. elapsed time: 9.998177
l1: 0/5, ltsv: 0/5. elapsed time: 7.479672
l1: 0/5, ltsv: 1/5. elapsed time: 5.503895
l1: 0/5, ltsv: 2/5. elapsed time: 3.349842
l1: 0/5, ltsv: 3/5. elapsed time: 2.097489
l1: 0/5, ltsv: 4/5. elapsed time: 2.425492
l1: 0/5, ltsv: 5/5. elapsed time: 2.931884
l1: 1/5, ltsv: -2/5. elapsed time: 18.537336
l1: 1/5, ltsv: -1/5. elapsed time: 8.900130
l1: 1/5, ltsv: 0/5. elapsed time: 4.873913
l1: 1/5, ltsv: 1/5. elapsed time: 3.808588
l1: 1/5, ltsv: 2/5. elapsed time: 2.826868
l1: 1/5, ltsv: 3/5. elapsed time: 1.845912
l1: 1/5, ltsv: 4/5. elapsed time: 2.522535
l1: 1/5, ltsv: 5/5. elapsed time: 2.958056
l1: 2/5, ltsv: -2/5. elapsed time: 10.924643
l1: 2/5, ltsv: -1/5. elapsed time: 6.763500
l1: 2/5, ltsv: 0/5. elapsed time: 3.952057
l1: 2/5, ltsv: 1/5. elapsed time: 3.330554
l1: 2/5, ltsv: 2/5. elapsed time: 2.282615
l1: 2/5, ltsv: 3/5. elapsed time: 1.720961
l1: 2/5, ltsv: 4/5. elapsed time: 2.336941
l1: 2/5, ltsv: 5/5. elapsed time: 2.920559
l1: 3/5, ltsv: -2/5. elapsed time: 5.070691
l1: 3/5, ltsv: -1/5. elapsed time: 3.697770
l1: 3/5, ltsv: 0/5. elapsed time: 3.396604
l1: 3/5, ltsv: 1/5. elapsed time: 2.505938
l1: 3/5, ltsv: 2/5. elapsed time: 1.898685
l1: 3/5, ltsv: 3/5. elapsed time: 1.618534
l1: 3/5, ltsv: 4/5. elapsed time: 1.976603
l1: 3/5, ltsv: 5/5. elapsed time: 2.949076
l1: 4/5, ltsv: -2/5. elapsed time: 1.520565
l1: 4/5, ltsv: -1/5. elapsed time: 1.489903
l1: 4/5, ltsv: 0/5. elapsed time: 1.448109
l1: 4/5, ltsv: 1/5. elapsed time: 1.376223
l1: 4/5, ltsv: 2/5. elapsed time: 1.440020
l1: 4/5, ltsv: 3/5. elapsed time: 1.549990
l1: 4/5, ltsv: 4/5. elapsed time: 1.667146
l1: 4/5, ltsv: 5/5. elapsed time: 2.160575
l1: 5/5, ltsv: -2/5. elapsed time: 42.616182
l1: 5/5, ltsv: -1/5. elapsed time: 43.670169
l1: 5/5, ltsv: 0/5. elapsed time: 41.237316
l1: 5/5, ltsv: 1/5. elapsed time: 43.293781
l1: 5/5, ltsv: 2/5. elapsed time: 43.197750
l1: 5/5, ltsv: 3/5. elapsed time: 42.588003
l1: 5/5, ltsv: 4/5. elapsed time: 43.651997
l1: 5/5, ltsv: 5/5. elapsed time: 42.264917
